stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,level_id,platform_code,state
200060,,Central Station,-33.88402424,151.20620308,1,,0,,,NSW
201510,,Redfern Station,-33.89204769,151.19841906,1,,0,,,NSW
204210,,Newtown Station,-33.89791301,151.17937737,1,,0,,,NSW
204810,,Stanmore Station,-33.89447424,151.16414803,1,,0,,,NSW
204910,,Petersham Station,-33.89386331,151.15557204,1,,0,,,NSW
204920,,Lewisham Station,-33.89341703,151.14770641,1,,0,,,NSW
207720,,Hornsby Station,-33.70347479,151.09835973,1,,0,,,NSW
213010,,Summer Hill Station,-33.89044065,151.13870280,1,,0,,,NSW
213110,,Ashfield Station,-33.88763777,151.12585123,1,,0,,,NSW
213210,,Croydon Station,-33.88307479,151.11520613,1,,0,,,NSW
213410,,Burwood Station,-33.87710168,151.10385716,1,,0,,,NSW
213510,,Strathfield Station,-33.87167201,151.09428565,1,,0,,,NSW
216710,,Glenfield Station,-33.97220759,150.89306653,1,,0,,,NSW
221320,,East Hills Station,-33.96181740,150.98472867,1,,0,,,NSW
222010,,Hurstville Station,-33.96744133,151.10269428,1,,0,,,NSW
223210,,Sutherland Station,-34.03175379,151.05722202,1,,0,,,NSW
223220,,Loftus Station,-34.04522117,151.05131573,1,,0,,,NSW
223310,,Engadine Station,-34.06770196,151.01486023,1,,0,,,NSW
223320,,Heathcote Station,-34.08791879,151.00833242,1,,0,,,NSW
223330,,Waterfall Station,-34.13490804,150.99454839,1,,0,,,NSW
250020,,Wollongong Station,-34.42701768,150.88819093,1,,0,,,NSW
250530,,Port Kembla North Station,-34.47297413,150.88813754,1,,0,,,NSW
250540,,Port Kembla Station,-34.47717840,150.90236909,1,,0,,,NSW
250810,,Helensburgh Station,-34.17705075,150.99425973,1,,0,,,NSW
250830,,Otford Station,-34.21078659,151.00583131,1,,0,,,NSW
250850,,Coalcliff Station,-34.24223632,150.97726898,1,,0,,,NSW
251510,,Scarborough Station,-34.26552566,150.96541923,1,,0,,,NSW
251550,,Thirroul Station,-34.31801562,150.91891203,1,,0,,,NSW
251610,,Bulli Station,-34.33443113,150.91475593,1,,0,,,NSW
251710,,Woonona Station,-34.34964700,150.91513824,1,,0,,,NSW
251810,,Bellambi Station,-34.36264805,150.91011528,1,,0,,,NSW
251830,,Towradgi Station,-34.38441889,150.90134686,1,,0,,,NSW
252920,,Oak Flats Station,-34.57203376,150.82043996,1,,0,,,NSW
2529218,,Shellharbour Junction Station,-34.59134673,150.84470802,1,,0,,,NSW
253010,,Kembla Grange Station,-34.47018181,150.81760282,1,,0,,,NSW
253020,,Dapto Station,-34.49273841,150.79181569,1,,0,,,NSW
253310,,Minnamurra Station,-34.62628481,150.85287255,1,,0,,,NSW
253320,,Bombo Station,-34.65870177,150.85384014,1,,0,,,NSW
253330,,Kiama Station,-34.67266689,150.85445510,1,,0,,,NSW
253420,,Gerringong Station,-34.74466196,150.81760762,1,,0,,,NSW
