stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,level_id,platform_code,state
vic:rail:ACF,Aircraft Railway Station,-37.86660595,144.76080944,1,,1,,,VIC
vic:rail:ALB,Albion Railway Station,-37.77765281,144.82470361,1,,1,,,VIC
vic:rail:ALM,Alamein Railway Station,-37.86832039,145.07965567,1,,1,,,VIC
vic:rail:ALP,Alphington Railway Station,-37.77839363,145.03125493,1,,1,,,VIC
vic:rail:ALT,Altona Railway Station,-37.86714760,144.82964474,1,,1,,,VIC
vic:rail:ARM,Armadale Railway Station,-37.85645238,145.01932554,1,,1,,,VIC
vic:rail:ARN,Arden Railway Station,-37.80122194,144.94120851,1,,1,,,VIC
vic:rail:ASH,Ashburton Railway Station,-37.86196753,145.08134376,1,,1,,,VIC
vic:rail:ASP,Aspendale Railway Station,-38.02722019,145.10214962,1,,1,,,VIC
vic:rail:ASV,Ascot Vale Railway Station,-37.77530609,144.92182074,1,,1,,,VIC
vic:rail:ASY,Anstey Railway Station,-37.76124203,144.96068404,1,,1,,,VIC
vic:rail:AUB,Auburn Railway Station,-37.82239831,145.04584366,1,,1,,,VIC
vic:rail:AZC,Anzac Railway Station,-37.83331103,144.97279042,1,,1,,,VIC
vic:rail:BAT,Batman Railway Station,-37.73352285,144.96284055,1,,1,,,VIC
vic:rail:BAY,Bayswater Railway Station,-37.84173004,145.26813639,1,,1,,,VIC
vic:rail:BBH,Brighton Beach Railway Station,-37.92648432,144.98915355,1,,1,,,VIC
vic:rail:BBN,Blackburn Railway Station,-37.82007075,145.15001354,1,,1,,,VIC
vic:rail:BCV,Balaclava Railway Station,-37.86948773,144.99351210,1,,1,,,VIC
vic:rail:BEG,Belgrave Railway Station,-37.90910210,145.35529128,1,,1,,,VIC
vic:rail:BEL,Bell Railway Station,-37.74556212,145.00015503,1,,1,,,VIC
vic:rail:BEN,Bentleigh Railway Station,-37.91742457,145.03699513,1,,1,,,VIC
vic:rail:BEW,Berwick Railway Station,-38.03998037,145.34541666,1,,1,,,VIC
vic:rail:BFD,Beaconsfield Railway Station,-38.05083135,145.36607374,1,,1,,,VIC
vic:rail:BIT,Bittern Railway Station,-38.33739032,145.17802653,1,,1,,,VIC
vic:rail:BLY,Burnley Railway Station,-37.82756022,145.00755515,1,,1,,,VIC
vic:rail:BMS,Broadmeadows Railway Station,-37.68304926,144.91961322,1,,1,,,VIC
vic:rail:BON,Bonbeach Railway Station,-38.06547485,145.12010580,1,,1,,,VIC
vic:rail:BOR,Boronia Railway Station,-37.86040238,145.28470457,1,,1,,,VIC
vic:rail:BOX,Box Hill Railway Station,-37.81922165,145.12142893,1,,1,,,VIC
vic:rail:BWD,Burwood Railway Station,-37.85156328,145.08051107,1,,1,,,VIC
vic:rail:BWK,Brunswick Railway Station,-37.76772055,144.95958654,1,,1,,,VIC
vic:rail:BXR,Baxter Railway Station,-38.19404306,145.16052609,1,,1,,,VIC
vic:rail:CAM,Camberwell Railway Station,-37.82656714,145.05869718,1,,1,,,VIC
vic:rail:CAR,Carrum Railway Station,-38.07653027,145.12280960,1,,1,,,VIC
vic:rail:CBE,Cranbourne Railway Station,-38.09953731,145.28059898,1,,1,,,VIC
vic:rail:CBY,Canterbury Railway Station,-37.82448518,145.08122424,1,,1,,,VIC
vic:rail:CDA,Cardinia Road Railway Station,-38.07129047,145.43779101,1,,1,,,VIC
vic:rail:CDN,Croydon Railway Station,-37.79530018,145.28048737,1,,1,,,VIC
vic:rail:CFD,Caulfield Railway Station,-37.87745946,145.04252478,1,,1,,,VIC
vic:rail:CGB,Craigieburn Railway Station,-37.60192480,144.94330601,1,,1,,,VIC
vic:rail:CHL,Clifton Hill Railway Station,-37.78865745,144.99541670,1,,1,,,VIC
vic:rail:CHM,Chatham Railway Station,-37.82429952,145.08864793,1,,1,,,VIC
vic:rail:CLA,Clayton Railway Station,-37.92468255,145.12053436,1,,1,,,VIC
vic:rail:CLO,Coolaroo Railway Station,-37.66111042,144.92604123,1,,1,,,VIC
vic:rail:CNE,Carnegie Railway Station,-37.88624148,145.05857506,1,,1,,,VIC
vic:rail:COB,Coburg Railway Station,-37.74234502,144.96333634,1,,1,,,VIC
vic:rail:CPT,Crib Point Railway Station,-38.36612338,145.20404332,1,,1,,,VIC
vic:rail:CSA,Chelsea Railway Station,-38.05329032,145.11667950,1,,1,,,VIC
vic:rail:CTM,Cheltenham Railway Station,-37.96664989,145.05455793,1,,1,,,VIC
vic:rail:CWD,Collingwood Railway Station,-37.80452593,144.99374967,1,,1,,,VIC
vic:rail:CXT,Croxton Railway Station,-37.76410100,144.99705619,1,,1,,,VIC
vic:rail:DBN,Darebin Railway Station,-37.77496341,145.03847598,1,,1,,,VIC
vic:rail:DCK,Diamond Creek Railway Station,-37.67337905,145.15853819,1,,1,,,VIC
vic:rail:DEN,Dennis Railway Station,-37.77918729,145.00824163,1,,1,,,VIC
vic:rail:DLG,Darling Railway Station,-37.86895684,145.06295083,1,,1,,,VIC
vic:rail:DNG,Dandenong Railway Station,-37.98996792,145.20972537,1,,1,,,VIC
vic:rail:DRT,Diggers Rest Railway Station,-37.62696051,144.71982218,1,,1,,,VIC
vic:rail:EAG,Eaglemont Railway Station,-37.76358553,145.05394269,1,,1,,,VIC
vic:rail:ECM,East Camberwell Railway Station,-37.82589419,145.06819025,1,,1,,,VIC
vic:rail:EDI,Edithvale Railway Station,-38.03653574,145.10758338,1,,1,,,VIC
vic:rail:ELS,Elsternwick Railway Station,-37.88475311,145.00089787,1,,1,,,VIC
vic:rail:ELT,Eltham Railway Station,-37.71354967,145.14782202,1,,1,,,VIC
vic:rail:EMV,East Malvern Railway Station,-37.87692101,145.06939324,1,,1,,,VIC
vic:rail:EPH,East Pakenham Railway Station ,-38.08441136,145.50635689,1,,1,,,VIC
vic:rail:EPP,Epping Railway Station,-37.65217784,145.03107934,1,,1,,,VIC
vic:rail:ERM,East Richmond Railway Station,-37.82639995,144.99706569,1,,1,,,VIC
vic:rail:ESD,Essendon Railway Station,-37.75601170,144.91619750,1,,1,,,VIC
vic:rail:FAK,Fawkner Railway Station,-37.71462129,144.96054503,1,,1,,,VIC
vic:rail:FBD,Flemington Bridge Railway Station,-37.78813995,144.93932328,1,,1,,,VIC
vic:rail:FFD,Fairfield Railway Station,-37.77917126,145.01690530,1,,1,,,VIC
vic:rail:FGS,Flagstaff Railway Station,-37.81198150,144.95566511,1,,1,,,VIC
vic:rail:FKN,Frankston Railway Station,-38.14299007,145.12616228,1,,1,,,VIC
vic:rail:FSS,Flinders Street Railway Station,-37.81830513,144.96696435,1,,1,,,VIC
vic:rail:FSY,Footscray Railway Station,-37.80141343,144.90202006,1,,1,,,VIC
vic:rail:FTG,Ferntree Gully Railway Station,-37.88169799,145.29525126,1,,1,,,VIC
vic:rail:GAR,Gardiner Railway Station,-37.85327908,145.05165466,1,,1,,,VIC
vic:rail:GBV,Glenbervie Railway Station,-37.74720985,144.92093868,1,,1,,,VIC
vic:rail:GFE,Glenferrie Railway Station,-37.82146682,145.03643883,1,,1,,,VIC
vic:rail:GHY,Glen Huntly Railway Station ,-37.88971946,145.04222285,1,,1,,,VIC
vic:rail:GIN,Ginifer Railway Station,-37.76008529,144.81135895,1,,1,,,VIC
vic:rail:GIR,Glen Iris Railway Station,-37.85930842,145.05822490,1,,1,,,VIC
vic:rail:GOW,Gowrie Railway Station,-37.70067800,144.95887432,1,,1,,,VIC
vic:rail:GRN,Greensborough Railway Station,-37.70371477,145.10793589,1,,1,,,VIC
vic:rail:GRY,Glenroy Railway Station,-37.70453633,144.91722040,1,,1,,,VIC
vic:rail:GVE,Gardenvale Railway Station,-37.89669508,145.00416843,1,,1,,,VIC
vic:rail:GWY,Glen Waverley Railway Station,-37.87950407,145.16205755,1,,1,,,VIC
vic:rail:HAM,Hampton Railway Station,-37.93798640,145.00150445,1,,1,,,VIC
vic:rail:HAW,Hawthorn Railway Station,-37.82182601,145.02289866,1,,1,,,VIC
vic:rail:HBE,Hurstbridge Railway Station,-37.63939817,145.19201689,1,,1,,,VIC
vic:rail:HCG,Hoppers Crossing Railway Station,-37.88338025,144.70074704,1,,1,,,VIC
vic:rail:HDB,Heidelberg Railway Station,-37.75707293,145.06068552,1,,1,,,VIC
vic:rail:HEY,Heyington Railway Station,-37.83465462,145.02264711,1,,0,,,VIC
vic:rail:HIG,Highett Railway Station,-37.94842500,145.04187180,1,,1,,,VIC
vic:rail:HKN,Hawksburn Railway Station,-37.84459087,145.00214206,1,,1,,,VIC
vic:rail:HLM,Hallam Railway Station,-38.01774038,145.26977680,1,,1,,,VIC
vic:rail:HMT,Heathmont Railway Station,-37.82832227,145.24455538,1,,1,,,VIC
vic:rail:HOL,Holmesglen Railway Station,-37.87440222,145.09066203,1,,1,,,VIC
vic:rail:HST,Hastings Railway Station,-38.30565853,145.18597988,1,,1,,,VIC
vic:rail:HTD,Heatherdale Railway Station,-37.81882320,145.21397044,1,,1,,,VIC
vic:rail:HUG,Hughesdale Railway Station,-37.89419074,145.07618607,1,,1,,,VIC
vic:rail:HUN,Huntingdale Railway Station,-37.91101734,145.10236432,1,,1,,,VIC
vic:rail:HWL,Hartwell Railway Station,-37.84398457,145.07555959,1,,1,,,VIC
vic:rail:HWS,Hawkstowe Railway Station,-37.62297489,145.09729471,1,,1,,,VIC
vic:rail:IVA,Ivanhoe Railway Station,-37.76889674,145.04542519,1,,1,,,VIC
vic:rail:JAC,Jacana Railway Station,-37.69513079,144.91585052,1,,1,,,VIC
vic:rail:JLI,Jolimont-MCG Railway Station,-37.81652702,144.98409834,1,,1,,,VIC
vic:rail:JOR,Jordanville Railway Station,-37.87360339,145.11209016,1,,1,,,VIC
vic:rail:JWL,Jewell Railway Station,-37.77498702,144.95871691,1,,1,,,VIC
vic:rail:KAN,Kananook Railway Station,-38.12175231,145.13537493,1,,1,,,VIC
vic:rail:KEN,Kensington Railway Station,-37.79378022,144.93052444,1,,1,,,VIC
vic:rail:KPK,Keon Park Railway Station,-37.69487012,145.01188382,1,,1,,,VIC
vic:rail:KPL,Keilor Plains Railway Station,-37.72927934,144.79373807,1,,1,,,VIC
vic:rail:KYG,Kooyong Railway Station,-37.83992894,145.03355161,1,,1,,,VIC
vic:rail:LAB,Laburnum Railway Station,-37.82078023,145.14070271,1,,1,,,VIC
vic:rail:LAL,Lalor Railway Station,-37.66585075,145.01719317,1,,1,,,VIC
vic:rail:LAV,Laverton Railway Station,-37.86369404,144.77261667,1,,1,,,VIC
vic:rail:LBK,Lynbrook Railway Station,-38.05734985,145.24925211,1,,1,,,VIC
vic:rail:LIL,Lilydale Railway Station,-37.75721264,145.34582227,1,,1,,,VIC
vic:rail:LWA,Leawarra Railway Station,-38.15203400,145.13953396,1,,1,,,VIC
vic:rail:MAC,Macaulay Railway Station,-37.79426673,144.93616633,1,,1,,,VIC
vic:rail:MAL,Malvern Railway Station,-37.86625330,145.02929394,1,,1,,,VIC
