stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,level_id,state
nsw:rail:ABY,Albury Railway Station,-36.08504590,146.92438140,1,,1,,VIC
vic:rail:ARR,Ardeer Railway Station,-37.78306529,144.80218807,1,,1,,VIC
vic:rail:ART,Ararat Railway Station,-37.28224082,142.93691176,1,,1,,VIC
vic:rail:AVL,Avenel Railway Station,-36.89364778,145.22951498,1,,1,,VIC
vic:rail:BAH,Bacchus Marsh Railway Station,-37.68757821,144.43678516,1,,1,,VIC
vic:rail:BAT-V,Ballarat Railway Station,-37.55879148,143.85945743,1,,1,,VIC
vic:rail:BDE,Bairnsdale Railway Station,-37.82872043,147.62761375,1,,1,,VIC
vic:rail:BET,Beaufort Railway Station,-37.42762724,143.38238116,1,,1,,VIC
vic:rail:BEW,Berwick Railway Station,-38.03998037,145.34541666,1,,1,,VIC
vic:rail:BGE,Birregurra Railway Station,-38.32880781,143.78362521,1,,1,,VIC
vic:rail:BGO,Bendigo Railway Station,-36.76566973,144.28300893,1,,1,,VIC
vic:rail:BLN,Ballan Railway Station,-37.60429951,144.22544803,1,,1,,VIC
vic:rail:BMS,Broadmeadows Railway Station,-37.68304926,144.91961322,1,,1,,VIC
vic:rail:BRF,Broadford Railway Station,-37.20720049,145.04300790,1,,1,,VIC
vic:rail:BXA,Benalla Railway Station,-36.54455031,145.98391505,1,,1,,VIC
vic:rail:BYP,Bunyip Railway Station,-38.09910771,145.72075749,1,,1,,VIC
vic:rail:CFD,Caulfield Railway Station,-37.87745946,145.04252478,1,,1,,VIC
vic:rail:CGB,Craigieburn Railway Station,-37.60192480,144.94330601,1,,1,,VIC
vic:rail:CHI,Chiltern Railway Station,-36.15563663,146.61137475,1,,1,,VIC
vic:rail:CKF,Clarkefield Railway Station,-37.48349769,144.74537264,1,,1,,VIC
vic:rail:CLA,Clayton Railway Station,-37.92468255,145.12053436,1,,1,,VIC
vic:rail:CLU,Clunes Railway Station,-37.30301059,143.78208969,1,,1,,VIC
vic:rail:CME,Castlemaine Railway Station,-37.06284167,144.21397878,1,,1,,VIC
vic:rail:COL,Colac Railway Station,-38.34337792,143.58665305,1,,1,,VIC
vic:rail:COR,Corio Railway Station,-38.07283126,144.37976842,1,,1,,VIC
vic:rail:CPD,Camperdown Railway Station,-38.22890091,143.15092780,1,,1,,VIC
vic:rail:CWK,Creswick Railway Station,-37.42460539,143.88812365,1,,1,,VIC
vic:rail:DBK,Donnybrook Railway Station,-37.54202766,144.97020358,1,,1,,VIC
vic:rail:DEK,Deer Park Railway Station,-37.77728102,144.77108058,1,,1,,VIC
vic:rail:DGE,Dingee Railway Station,-36.36923291,144.23112034,1,,1,,VIC
vic:rail:DNG,Dandenong Railway Station,-37.98996792,145.20972537,1,,1,,VIC
vic:rail:DRN,Drouin Railway Station,-38.13645190,145.85594693,1,,1,,VIC
vic:rail:EAG-V,Eaglehawk Railway Station,-36.71852539,144.24837990,1,,1,,VIC
vic:rail:ECH,Echuca Railway Station,-36.13098223,144.75345866,1,,1,,VIC
vic:rail:EME,Elmore Railway Station,-36.49502002,144.60775752,1,,1,,VIC
vic:rail:EOA,Euroa Railway Station,-36.74918387,145.56802043,1,,1,,VIC
vic:rail:EPM,Epsom Railway Station,-36.70628781,144.32105260,1,,1,,VIC
vic:rail:ESD,Essendon Railway Station,-37.75601170,144.91619750,1,,1,,VIC
vic:rail:FSS,Flinders Street Railway Station,-37.81830513,144.96696435,1,,1,,VIC
